sentence,label
左手流量，右手资本，腾讯正成为中国互联网生态的收割人？,科技
火山小视频不能提现，显示身份信息已绑定其他账号，怎么解绑不用的账号或注销账号？,科技
跑步软件无法记入跑步步数怎么办？,科技
新一届世界机器人大会将召开 六股出现大单疯狂抢筹迹象！,科技
蓝帆医疗：低值耗材的隐形冠军,科技
马云亲笔签名！天猫精灵发第三款智能音箱方糖：每秒卖3台,科技
又一日本相机巨头败退！,科技
安兔兔四月好评榜出炉，小米成最大赢家华为仅一款上榜,科技
明明新出的手机已经支持北斗导航了，而且已经使用多年了，为什么大家都以为自己没有使用？,科技
Facebook组建新团队 致力区块链研究,科技
贝店是怎么样的营销模式，前期投入成本高嘛？,科技
python操作word文档如何查看页脚？,科技
怎么拥有余额宝？,科技
现在电脑有必要安装360或者腾讯电脑管家吗？,科技
中国市值最高公司诞生！世界排名第六，市值比腾讯还多几千个亿！,科技
重磅！又一消费金融公司获批开业，目前仅有24家！,科技
怎么看待有人冒充马化腾回应《腾讯没有梦想》一文？,科技
我的理想不是赚多少钱！马化腾回应《腾讯没有梦想》,科技
为什么网吧的电脑配置低，速度却很快？,科技
我国研发出5G通讯技术，无需更换4G手机就可用上5G网络，太厉害了,科技
2018年会不会出5G手机？,科技
跨世纪的思维，两个变性哲学家所拍的电影,科技
畅享智慧生活，“蓉欧+”智能科技博览会本月25日启幕,科技
香港华都金业火爆招商中,科技
恭喜尚亿创新获得计算机软件著作权登记证书！,科技
微软Build 2018大会预览,科技
联想把5G关键票投给了高通，掀起全国的舆论风暴，企业有权利按照自己意愿决择吗？,科技
旅行中拍照到底该带手机还是单反？,科技
联想把5G关键票投给了高通，掀起全国的舆论风暴，企业有权利按照自己意愿决择吗？,科技
旧手机如何能变废为宝？,科技
刘强东把京东交给你，一天之后收回，你会干什么？,科技
「转」人民日报——文化云 让生活更有品味（大数据观察·云）,科技
天津的丧茶店有哪些推荐产品？,科技
刺激战场既然这么火，为什么要投放机器人？,科技
5月15-17日在合肥，我们一起来谈谈，实体零售如何与未来同框？,科技
人工智能兴起，机器人时代已经来临,科技
京东方的OLED屏应用到哪些国产手机了？,科技
电脑总是无响应是什么回事？,科技
国内的5G可不可以完全采用华为的标准建设？,科技
高通660跟821哪个好？,科技
小米手机的NFC功能可以刷所有地方的公交卡吗？,科技
给你100亿，你愿忍受“忽视是一种虐待”，并承受27年吗？,科技
比尔盖茨、巴菲特均认为比特币没价值，是愚蠢的投资 你怎么看？,科技
这个电脑配置值多少钱？,科技
把支付宝里的收款码发给别人安全吗？,科技
联想把5G关键票投给了高通，掀起全国的舆论风暴，企业有权利按照自己意愿决择吗？,科技
联想是个什么性质的企业？它为什么要把5G标准长码投给高通？对它以后的发展是好是坏？,科技
小米拟登陆港股新三板 雷军系公司何去何从？,科技
电商巨头线下零售版图不断扩大，大型超市后还将布局中小杂货店？,科技
苹果6建议更新到iOS11.3吗？,科技
你怎么看5G标准长短码投票联想没有投华为？,科技
滴滴打车的“宿敌”：将推出“出租飞机”，颠覆人们出行方式！,科技
Java 为什么要编译为字节码？,科技
人工智能六大集聚区竞相出台鼓励政策,科技
如何评价iPhone X、三星S9+、小米MIX2S、华为P20P这四部旗舰？,科技
安卓软件合集,科技
小米手机性价比高，为什么很少见公务员却很少用小米？,科技
联络互动2017年年报,科技
荣耀v10和华为p20哪个更适合工薪层？,科技
微软与大疆无人机公司合作win 10无人机SDK,科技
为什么微博很多人在讨伐钉钉？,科技
oppo手机应用加密，除了你谁都打不开，真的很实用，赶快试试,科技
如何注销不知道密码的微信号，已经绑定了手机号码，但登录不了？,科技
手机充电慢或充不进电，只需用这2样东西，立马能修好，一看就会,科技
小米、一加获谷歌先进AI技术支持，所以要在人工智能方面领先了？,科技
物联网：应用端爆发催生全产业链投资机会,科技
支付宝追求便捷不停步，12306订票支付宝负责提醒发送,科技
华为输了5G标准会导致我们中国企业失去什么？,科技
未来手机会变成什么样？,科技
如何评价任正非和柳传志这两个人？,科技
联想把5G关键票投给了高通，掀起全国的舆论风暴，企业有权利按照自己意愿决择吗？,科技
高通准备在今年秋季发布新的可穿戴设备专用SoC,科技
怎么用手机进行编程？,科技
WP手机新希望：Windows 10 ARM在微软Lumia 950 XL运行良好,科技
被张一鸣指着鼻子怼，马化腾慌了？双面腾讯到底怎样招架,科技
怎么从深层次看待联想的投票？,科技
vivo X21的屏下指纹解锁技术怎么样？,科技
小区不让光纤接入怎么办？,科技
6个摄像头的HTC U12+，5月23号见,科技
外媒：Facebook将考虑创建自己的数字货币,科技
杨元庆是个优秀的企业家吗？,科技
想率先体验Android P？与谷歌携手的vivo帮你实现梦想,科技
苹果对新闻内容有兴趣 去年开始大规模招聘编辑,科技
新闻简报：天津抢人才对准顶尖大师：诺奖得主和院士可奖百万,科技
290家台资企业成功搭上台商专属“电商直通车”,科技
三星跑了，奥林巴斯也跑了！高房价正在拖垮深圳？,科技
微信小程序限制用户进行虚拟支付安卓小游戏除外,科技
大数据的五大核心技术，给大数据同行入门研究参考的小知识,科技
杨元庆是个优秀的企业家吗？,科技
柳传志到底是个什么样的人？,科技
为什么感觉Mac的字体和UI比Windows好看？,科技
联想还能活多久？,科技
为什么越来越多的人拒绝办信用卡？,科技
互联网电视的“明天”，依靠投资能否起死回生？,科技
小米估值被下调？雷军违反5年之约有蹊跷,科技
网赌是如何让你输钱的？,科技
共享书柜来了！一分钟完成书籍借阅：600芝麻信用分免押金,科技
《人民日报》专题报道：来天津，拥抱智能时代,科技
实现5G后，现在用的4G手机可不可以不换呢？,科技
杀毒软件选哪个？,科技
机器人电子教练团队创新能力和精神党媒点赞,科技
不容易被人注意的网络兼职，做得好比上班都赚得多,科技
他曾邀请柳青一起创造500亿美元市值滴滴，还受马云和马化腾投资,科技
深度剖析360命令执行系统Qcmd,科技
打响四大品牌·聚焦上海制造｜联网的“上海制造”将创造“工业分享经济”,科技
荣耀9的闪存依旧是emmc5.1，大家觉得值得买么？,科技
怎么评价潘乱写的《腾讯没有梦想》？,科技
第一季度小米仍是线上第二，雷军也没有自信能够反超，第一太强！,科技
8848手机的价格为什么比较高？,科技
如果地球是一个大系统，人类如果能研发出一个超级机，是否可以推算人类的未来？,科技
手机经常断网不知道怎么解决？赶快试试这个功能，让手机不再断网,科技
凭苹果的能力，如果政策原因，富士康不给他代工，他能不能扶持起另一个“富士康”？,科技
两名黑客，打开了数百万个酒店房间,科技
论坛预告丨2018第一届全国智能技术与服务学术论坛,科技
小程序是如何给实体商家带来流量的？,科技
郑州将举行全球性会议！阿里巴巴、京东等电商平台高管齐聚郑州,科技
苹果手机里面照片编辑里面的光效里面的黑点是什么意思？,科技
餐饮模板再次更新升级，餐饮老板的福利来啦！,科技
如何评价5月8日张一鸣与马化腾在朋友圈的争论？,科技
雪佛兰探界者和昂科威一个平台，会断轴吗？,科技
手机内存垃圾太多了？只要按下这个开关，内存垃圾全部消失！,科技
极光大数据：2018Q1智能手机行业报告,科技
为什么龙岩人张一鸣的今日头条和王兴的美团能够崛起？,科技
比特币“死亡交叉”来袭，退场进行时？—2018.5.12行情总结,科技
校宝在线获蚂蚁金服领投1亿C2轮融资，将全面布局民办教育产业,科技
为什么Facebook一直不错，人人网却崩塌了？,科技
手机分辨率越高就越好吗？,科技
怎么给微信图片添加上字和水印？,科技
成都投资锤子是因为锤子连年盈利吗？,科技
小米IPO受到瑞典媒体关注，但尴尬的是错把李彦宏当雷军,科技
滴滴司机怎么才能注销？,科技
支付宝升级后，余额宝怎么不派发利息了？,科技
淘宝运营如何玩转手淘首页让店铺流量暴增？,科技
博鳌亚洲区块链论坛将于5月28-29日重磅来袭,科技
怎么评价潘乱写的《腾讯没有梦想》？,科技
波士顿动力公司展示机器人跑步，进化逆天，能跑能跳还会后翻空,科技
区块链是不是BAT等巨头们通往更高级垄断的新船票？,科技
人在失忆之后还是原来的他吗？,科技
小米赴港申请IPO，对此你怎么看？,科技
滴滴外卖，美团打车扩张在即，你觉得小巨头之间会爆发持久战吗？,科技
马云详细讲解 2018经济走向，抓住机会，你也可以成功！,科技
打开微信这个功能，能使老照片一键上色，太实用了,科技
微信小程序今年将迎来超百亿投资，你还在观望？,科技
马云的蚂蚁金服为什么要从阿里巴巴里剥离出来？,科技
柯远大：用技术创新给玩具赋予灵魂,科技
Android Things目前开发的怎么样了？,科技
有哪些不用注册会员充值下载电子书的网站？,科技
如果苹果和腾讯真的中断了合作，苹果下架腾讯所有APP，你会换手机吗？,科技
假如地球突然停止转动1秒钟，会发生什么？,科技
核桃X 新机将沿用刘海屏设计，预计16号发布，你会支持诺基亚吗？,科技
现阶段人类尽全力往太空发展，最终会是什么样子？,科技
2018世界机器人大会将首次整体呈现“机器人生产线”,科技
美国封杀中兴通讯，不卖一颗芯片给中兴，究竟是为什么？,科技
腾讯可不可以收购股东公司南非MIH公司？,科技
根据谷歌智能手机用户的问题,科技
微信这个按钮不关闭，你的微信钱包就会很危险，看完马上关闭,科技
世界第一支付公司World First进入中国，微信支付宝如何应对出局风险？,科技
换手机，如何将老手机的全部资料程序导入新苹果7手机？,科技
大家用的手机后期修图软件都是些什么？,科技
英特尔投资中国半导体公司乐鑫科技,科技
同是腾讯出品的正版“吃鸡”手游，《绝地求生刺激战场》更胜一筹吗，为什么？,科技
气愤：一个简单的截屏功能，小米手机搞这多方法，让其他手机怎么弄！,科技
如何看待微信小程序？,科技
Tripio第一版落地产品已经内测完成,科技
win10自带的显卡驱动与N卡官网驱动有差异吗？这对显卡性能有影响吗？,科技
教你一键去除照片里的路人，用手机3秒搞定，不留一丝痕迹,科技
AMD2700X 1080ti 渲染内存装机指南分享 插件兼容测试,科技
小豹AI音箱京东开售，10分钟卖光5000台,科技
华为输了5G标准会导致我们中国企业失去什么？,科技
企融贷：践行普惠金融，完善企业融资体系,科技
一整套小米家居要多少钱？,科技
怎么实现C#winform datagridview二维？,科技
学会这五步，从0开始搭建你的第一款小程序保证不是问题了,科技
iphone怎么拦截“呼死你”？,科技
下班后，有什么可以在网上做的兼职？,科技
驰腾打印机，盘点起来怎么样？有哪位老板用过？,科技
如何看待二更食堂《托你们的福，那个杀害空姐的司机，正躺在家数钱》一文？,科技
京东市值蒸发千亿，投资者们为何持续做空京东？,科技
马云：阿里不愿招北大清华毕业生，他们应该到中小企业,科技
谷歌微软英伟达等34家公司要齐聚白宫，与特朗普共商AI大计,科技
联想公布出来的5G投票的英文证明，是什么意思，你怎么看？,科技
杨元庆是个优秀的企业家吗？,科技
怎么样才能注销滴滴？,科技
微软：近7亿部设备正运行Win10，1年增长了2亿部,科技
中国国际电视台专访PonyCar：共享汽车的机遇与发展,科技
中国能自己用华为标准自己组建5g吗？,科技
科技：未来、城市、地球，阿特拉斯和幽默机器人,科技
vivo X9s用骁龙652打败了小米的835，大家怎么看？,科技
如何看待ARM成立中国公司？,科技
李斌攒局：他会是下一个雷军吗,科技
只需在微信这里输入一串代码，一秒找回聊天记录，比软件还好用！,科技
2018年小米手机5高配版还值得买吗？在哪里能买到？,科技
联想在短码上没有支持华为是不是谣言？,科技
全球行业研究机构：腾讯云成为全球第七名首选云服务商！,科技
腾讯获得fuckqq.com所有权后，需要按年缴纳域名费用吗？,科技
绑定微信的手机号注销了，微信支付还可以正常支付使用吗？,科技
DJI与微软合作推出Windows 10 SDK 拓展商用市场,科技
手机卡顿大揭秘，不用刷机，便能让你的手机如新般流畅！,科技
ICO技术监管何时到来？V神的脑洞，他们用智能合约实现了,科技
22款电脑必备软件最强合集，你值得拥有！,科技
中国移动支付拓展海外市场 华侨华人同享便利,科技
半年内使用两次蚂蚁借呗/京东白条，别想申请房贷车贷，这是真的吗？,科技
王兴干得过程维吗？,科技
本身下滑的联想，又站错队支持高通不支持华为，大家怎么看？,科技
餐饮零售化已成大势所趋？！,科技
你可能知道雷电网络，但智能雷电未必听说过,科技
为什么柳传志在大佬商圈中的地位那么高？,科技
如何解读蚂蚁金服首季亏损超7亿？,科技
制冷空调哪家强？,科技
京东与环球天成达成战略合作联手打造大屏无界零售新时代,科技
4.88亿美元，百度卖了饿了么股份给阿里！“三国大战”战火重燃！,科技
vivo手机锁屏声控功能很强大，通话语音就能控制手机，现在试一下,科技
为创业的你准备的（2018年新商机）,科技
三星拼了！十周年两款新机：全面屏S10+折叠手机Galaxy X！,科技
2018年店淘模式已成过，1688新型分销正在进行,科技
联想公布出来的5G投票的英文证明，是什么意思，你怎么看？,科技
十年来最大更新 Android P系统迎来9大变化（附一图看懂要点）,科技
优站通与易站通、云网客等优化产品的区别在哪里？,科技
三星不仅在中国市场跌破2%，在这个市场也被华为小米紧逼,科技
分析师：纽约共识大会将是比特币价格重大突破的机会,科技
华为p20保时捷版和iPhoneX，你会选哪个？,科技
你曾经用过什么小众但是好用或者非常有趣的电子产品？,科技
虚拟货币区块链市场再扩大，迈阿币有机会进入支付市场展身手,科技
人民日报使用“吃鸡”、“盒子”等绝地求生术语发微博，你怎么看？,科技
拉黑微信好友和删除微信好友有什么区别？,科技
雀巢71.5亿美元买了杯星巴克！,科技
新一代的Android P系统都有哪些亮点？,科技
Find系列手机回归！OPPO Find X曝光：全面屏+屏下指纹，颜值惊艳,科技
第三方支付行业研究报告：详解产业链和发展趋势,科技
腾讯分分彩有哪些软件支持手机登录的的？,科技
如何对有访问密码的MySQL数据库进行取证？,科技
5G承载网络建设已迫在眉睫 相关公司有望受益,科技
刘强东再出大招！京东推出最强商家返点激励政策，淘宝会紧张吗？,科技
勇气可嘉？苹果承认iPhone7升级将会出现这类问题，引网友热议！,科技
手机OTG功能没用过？赶紧试试，原来这么多年手机白用了,科技
国内顶级专家把脉国产芯片称，人才培养状况堪忧,科技
智能合约存在漏洞，区块链资金被盗取，如何利用法律追回？,科技
什么是电子商务？,科技
联想在5Ｇ制定标准上把票投给高通导致华为丢失标准，你怎么看？,科技
如果你自己创建一个公众号，你希望是关于什么内容的？,科技
麒麟960玩《刺激战场》怎么样？,科技
蚂蚁花呗是否属于小额贷款，会影响个人征信吗？,科技
刮胡刀什么牌子的好？,科技
今年听过最好的演讲：别让任何人打乱你的人生节奏,科技
如何选择一款好的虚拟主机？,科技
怎样评价大疆发布的“晓”SPARK无人机？,科技
报告：未来四年运营商Wi-Fi市场总额将达35亿美元,科技
用flywile第三方支付平台，选银联线上支付学费，一定要开通网银吗？,科技
男朋友不让你知道qq密码，你会怎么想？,科技
西安一季度GDP同比增长8.1% 实现经济增长“开门红”,科技
手机系统中了病毒，会有什么表现？,科技
手机连上wifi以后显示信号是满格，但是显示的是无法连接服务器，这是为什么呢？,科技
联想把5G关键票投给了高通，掀起全国的舆论风暴，企业有权利按照自己意愿决择吗？,科技
网间传言苹果在国内挖走了荣耀AI核心团队 赵明辟谣：假的,科技
想换手机了，小米6还值得买吗？,科技
以太网Ethernet v2帧结构中是否有前导码？,科技
经济学家吴敬琏为什么反对“不惜代价发展芯片产业”？,科技
支付宝安全不容小觑，保护个人隐私务必关闭的几个设置,科技
雅化集团(002497)：锂电池第一股年报净增5352万，或复制华锋股份,科技
如何评价滴滴顺风车业务自我停业整改行为？,科技
苹果手机的这3个功能如果不关闭，即使不用，耗电也非常快,科技
网页版Apple Pay来了！无需记录数据，你会用吗？,科技
快消晨报 “服装定制”标准将加快制定,科技
澳讯｜人工智能挑战：男性工作岗位受自动化冲击更严重，这些岗位面临威胁,科技
拉卡拉、瑞和宝、随行付、立刷，大家推荐哪一款？,科技
联想还能活多久？,科技
老外发明的砌墙神器，让工人提升5倍效率，这样的发明值得普及,科技
目前荣耀10正在全面评测，荣耀10值得买吗？,科技
净水“黑科技”亮相北京，朝源共享水站智能交互模式新体验,科技
联想把5G关键票投给了高通，掀起全国的舆论风暴，企业有权利按照自己意愿决择吗？,科技
为什么有的人微信每天都有好多人加好友？,科技
