label,text_a,segmented_text,pos_result,dependency_result
1,"這間酒店環境和服務態度亦算不錯,但房間空間太小~~不宣容納太大件行李~~且房間格調還可以~~ 中餐廳的廣東點心不太好吃~~要改善之~~~~但算價錢平宜~~可接受~~ 西餐廳格調都很好~~但吃的味道一般且令人等得太耐了~~要改善之~~","[['這', '間', '酒店', '環境', '和', '服務', '態度', '亦', '算', '不錯', ',', '但', '房間', '空間', '太', '小', '~~', '不', '宣', '容納', '太', '大', '件', '行李', '~~', '且', '房間', '格調', '還', '可以', '~~', '中餐廳', '的', '廣東', '點心', '不', '太', '好吃', '~~', '要', '改善', '之', '~~~~', '但', '算', '價錢', '平宜', '~~', '可', '接受', '~~', '西餐廳', '格調', '都', '很', '好', '~~', '但', '吃', '的', '味道', '一般', '且', '令', '人', '等', '得', '太', '耐', '了', '~~', '要', '改善', '之', '~~']]","[['r', 'q', 'n', 'n', 'c', 'vn', 'n', 'd', 'v', 'a', 'w', 'c', 'n', 'n', 'd', 'a', 'w', 'd', 'v', 'v', 'd', 'a', 'q', 'n', 'w', 'c', 'n', 'n', 'd', 'v', 'w', 'n', 'u', 'ns', 'n', 'd', 'd', 'a', 'w', 'v', 'v', 'r', 'w', 'c', 'v', 'n', 'a', 'w', 'v', 'v', 'w', 'n', 'n', 'd', 'd', 'a', 'w', 'c', 'v', 'u', 'n', 'a', 'c', 'v', 'n', 'v', 'u', 'd', 'a', 'y', 'w', 'v', 'v', 'r', 'w']]","[[(2, 'det'), (0, 'clf'), (6, 'nn'), (6, 'conj'), (6, 'cc'), (6, 'nn'), (9, 'nsubj'), (9, 'advmod'), (9, 'mmod'), (-1, 'root'), (9, 'punct'), (9, 'cc'), (13, 'nn'), (15, 'nsubj'), (15, 'advmod'), (9, 'conj'), (9, 'punct'), (18, 'neg'), (9, 'conj'), (18, 'ccomp'), (21, 'advmod'), (22, 'amod'), (23, 'clf'), (19, 'dobj'), (9, 'punct'), (9, 'cc'), (27, 'nn'), (29, 'nsubj'), (29, 'advmod'), (9, 'conj'), (9, 'punct'), (34, 'assmod'), (31, 'assm'), (34, 'nn'), (37, 'nsubj'), (37, 'neg'), (37, 'advmod'), (9, 'conj'), (9, 'punct'), (40, 'mmod'), (9, 'conj'), (40, 'dobj'), (9, 'punct'), (44, 'advmod'), (9, 'conj'), (46, 'nsubj'), (44, 'ccomp'), (9, 'punct'), (49, 'mmod'), (9, 'conj'), (9, 'punct'), (52, 'nn'), (55, 'nsubj'), (55, 'advmod'), (55, 'advmod'), (9, 'conj'), (9, 'punct'), (9, 'cc'), (60, 'rcmod'), (58, 'cpm'), (61, 'nsubj'), (9, 'conj'), (63, 'advmod'), (9, 'conj'), (63, 'dobj'), (68, 'dep'), (68, 'dep'), (68, 'advmod'), (63, 'dep'), (68, 'dep'), (9, 'punct'), (72, 'mmod'), (9, 'conj'), (72, 'dobj'), (9, 'punct')]]"
1,"<荐书> 推荐所有喜欢<红楼>的红迷们一定要收藏这本书,要知道当年我听说这本书的时候花很长时间去图书馆找和借都没能如愿,所以这次一看到当当有,马上买了,红迷们也要记得备货哦!","[['<荐书', '>', '推荐', '所有', '喜欢', '<', '红楼>', '的', '红迷们', '一定', '要', '收藏', '这', '本', '书', ',', '要', '知道', '当年', '我', '听说', '这', '本', '书', '的', '时候', '花', '很', '长', '时间', '去', '图书馆', '找', '和', '借', '都', '没', '能', '如愿', ',', '所以', '这', '次', '一', '看到', '当当', '有', ',', '马上', '买', '了', ',', '红迷们', '也', '要', '记得', '备货', '哦', '!']]","[['n', 'm', 'v', 'b', 'v', 'w', 'n', 'u', 'n', 'd', 'v', 'v', 'r', 'q', 'n', 'w', 'v', 'v', 't', 'r', 'v', 'r', 'q', 'n', 'u', 'n', 'v', 'd', 'a', 'n', 'v', 'n', 'v', 'c', 'v', 'd', 'd', 'v', 'v', 'w', 'c', 'r', 'q', 'd', 'v', 'd', 'v', 'w', 'd', 'v', 'y', 'w', 'n', 'd', 'v', 'v', 'v', 'y', 'w']]","[[(2, 'nsubj'), (2, 'nsubj'), (-1, 'root'), (8, 'det'), (8, 'rcmod'), (4, 'punct'), (4, 'dep'), (4, 'cpm'), (2, 'dobj'), (11, 'advmod'), (11, 'mmod'), (2, 'dep'), (14, 'det'), (12, 'clf'), (11, 'dobj'), (2, 'punct'), (17, 'mmod'), (2, 'conj'), (26, 'tmod'), (20, 'nsubj'), (25, 'rcmod'), (23, 'det'), (21, 'clf'), (20, 'dobj'), (20, 'cpm'), (26, 'nsubj'), (17, 'ccomp'), (28, 'advmod'), (29, 'amod'), (26, 'dobj'), (26, 'conj'), (30, 'dobj'), (26, 'conj'), (32, 'cc'), (32, 'conj'), (38, 'advmod'), (38, 'neg'), (38, 'mmod'), (2, 'conj'), (2, 'punct'), (55, 'advmod'), (44, 'dep'), (41, 'clf'), (44, 'advmod'), (55, 'dep'), (46, 'advmod'), (44, 'dep'), (55, 'punct'), (49, 'advmod'), (55, 'dep'), (49, 'asp'), (55, 'punct'), (55, 'nsubj'), (55, 'advmod'), (55, 'mmod'), (2, 'dep'), (55, 'ccomp'), (55, 'dep'), (2, 'punct')]]"
0,商品的不足暂时还没发现，京东的订单处理速度实在.......周二就打包完成，周五才发货...,"[['商品', '的', '不足', '暂时', '还', '没', '发现', '，', '京东', '的', '订单', '处理', '速度', '实在', '.......', '周二', '就', '打包', '完成', '，', '周五', '才', '发货', '...']]","[['n', 'u', 'an', 'd', 'd', 'd', 'v', 'w', 'nz', 'u', 'n', 'vn', 'n', 'd', 'w', 't', 'd', 'v', 'v', 'w', 't', 'd', 'v', 'w']]","[[(2, 'assmod'), (0, 'assm'), (6, 'nsubj'), (6, 'advmod'), (6, 'advmod'), (6, 'neg'), (-1, 'root'), (6, 'punct'), (12, 'assmod'), (8, 'assm'), (12, 'nn'), (12, 'nn'), (13, 'nsubj'), (6, 'dep'), (6, 'punct'), (17, 'tmod'), (17, 'advmod'), (6, 'conj'), (17, 'rcomp'), (17, 'punct'), (22, 'tmod'), (22, 'advmod'), (6, 'conj'), (6, 'punct')]]"
1,２００１年来福州就住在这里，这次感觉房间就了点，温泉水还是有的．总的来说很满意．早餐简单了些．,"[['２００１年', '来', '福州', '就', '住', '在', '这里', '，', '这', '次', '感觉', '房间', '就了点', '，', '温泉水', '还是', '有', '的', '．', '总的来说', '很', '满意', '．', '早餐', '简单', '了', '些', '．']]","[['t', 'v', 'ns', 'd', 'v', 'p', 'r', 'w', 'r', 'q', 'v', 'n', 'v', 'w', 'n', 'd', 'v', 'u', 'w', 'c', 'd', 'v', 'w', 'n', 'a', 'u', 'q', 'w']]","[[(1, 'tmod'), (-1, 'root'), (1, 'dobj'), (4, 'advmod'), (1, 'conj'), (4, 'prep'), (5, 'pobj'), (1, 'punct'), (10, 'dep'), (8, 'clf'), (1, 'dep'), (12, 'nsubj'), (10, 'ccomp'), (1, 'punct'), (16, 'nsubj'), (16, 'advmod'), (1, 'dep'), (16, 'dep'), (1, 'punct'), (21, 'advmod'), (21, 'advmod'), (1, 'dep'), (1, 'punct'), (24, 'nsubj'), (1, 'dep'), (24, 'asp'), (24, 'advmod'), (1, 'punct')]]"
1,不错的上网本，外形很漂亮，操作系统应该是个很大的 卖点，电池还可以。整体上讲，作为一个上网本的定位，还是不错的。,"[['不错', '的', '上网本', '，', '外形', '很', '漂亮', '，', '操作', '系统', '应该', '是', '个', '很', '大', '的', '卖点', '，', '电池', '还', '可以', '。', '整体', '上', '讲', '，', '作为', '一', '个', '上网本', '的', '定位', '，', '还', '是', '不错', '的', '。']]","[['a', 'u', 'n', 'w', 'n', 'd', 'a', 'w', 'vn', 'n', 'v', 'v', 'q', 'd', 'a', 'u', 'n', 'w', 'n', 'd', 'v', 'w', 'n', 'f', 'v', 'w', 'p', 'm', 'q', 'n', 'u', 'n', 'w', 'd', 'v', 'a', 'u', 'w']]","[[(2, 'assmod'), (0, 'cpm'), (6, 'nsubj'), (6, 'punct'), (6, 'nsubj'), (6, 'advmod'), (-1, 'root'), (6, 'punct'), (9, 'nn'), (11, 'nsubj'), (11, 'mmod'), (6, 'conj'), (16, 'clf'), (14, 'advmod'), (16, 'rcmod'), (14, 'cpm'), (11, 'attr'), (6, 'punct'), (20, 'nsubj'), (20, 'advmod'), (35, 'dep'), (35, 'punct'), (23, 'lobj'), (24, 'loc'), (35, 'dep'), (35, 'punct'), (35, 'prep'), (28, 'nummod'), (31, 'clf'), (31, 'assmod'), (29, 'assm'), (26, 'pobj'), (35, 'punct'), (35, 'advmod'), (35, 'cop'), (6, 'dep'), (35, 'dep'), (6, 'punct')]]"
0,房间地毯太脏，临近火车站十分吵闹，还好是双层玻璃。服务一般，酒店门口的TAXI讲是酒店的长期合作关系，每月要交费给酒店。从酒店到机场讲得是打表147元，到了后非要200元，可能被小宰30-40元。,"[['房间', '地毯', '太', '脏', '，', '临近', '火车站', '十分', '吵闹', '，', '还', '好', '是', '双层', '玻璃', '。', '服务', '一般', '，', '酒店', '门口', '的', 'TAXI', '讲', '是', '酒店', '的', '长期', '合作', '关系', '，', '每月', '要', '交费', '给', '酒店', '。', '从', '酒店', '到', '机场', '讲', '得', '是', '打表', '147', '元', '，', '到', '了', '后', '非', '要', '200', '元', '，', '可能', '被', '小宰', '30', '-', '40', '元', '。']]","[['n', 'n', 'd', 'a', 'w', 'v', 'n', 'm', 'v', 'w', 'd', 'a', 'v', 'b', 'n', 'w', 'v', 'a', 'w', 'n', 's', 'u', 'nx', 'v', 'v', 'n', 'u', 'b', 'vn', 'n', 'w', 'r', 'v', 'v', 'v', 'n', 'w', 'p', 'n', 'p', 'n', 'v', 'u', 'v', 'v', 'm', 'q', 'w', 'v', 'u', 'f', 'd', 'v', 'm', 'q', 'w', 'v', 'p', 'nr', 'm', 'w', 'm', 'q', 'w']]","[[(3, 'nsubj'), (3, 'nsubj'), (3, 'advmod'), (-1, 'root'), (3, 'punct'), (8, 'dep'), (5, 'dobj'), (8, 'advmod'), (3, 'conj'), (3, 'punct'), (11, 'advmod'), (12, 'advmod'), (3, 'conj'), (14, 'amod'), (12, 'attr'), (3, 'punct'), (17, 'nsubj'), (3, 'conj'), (3, 'punct'), (20, 'nn'), (22, 'assmod'), (20, 'assm'), (23, 'nsubj'), (3, 'conj'), (23, 'ccomp'), (29, 'assmod'), (25, 'assm'), (29, 'amod'), (29, 'nn'), (24, 'attr'), (3, 'punct'), (33, 'advmod'), (33, 'mmod'), (3, 'conj'), (33, 'prep'), (34, 'pobj'), (3, 'punct'), (39, 'prep'), (37, 'pobj'), (43, 'dep'), (39, 'dobj'), (43, 'dep'), (41, 'cpm'), (3, 'conj'), (43, 'ccomp'), (46, 'nummod'), (44, 'range'), (3, 'punct'), (50, 'lccomp'), (48, 'asp'), (52, 'loc'), (52, 'advmod'), (3, 'conj'), (54, 'nummod'), (52, 'range'), (3, 'punct'), (58, 'mmod'), (58, 'pass'), (3, 'conj'), (62, 'dep'), (62, 'punct'), (62, 'nummod'), (58, 'range'), (3, 'punct')]]"
0,本来想没事的时候翻翻，可惜看不下去，还是和张没法比，他的书能畅销大部分还是受张的影响，对这个男人实在是没好感，不知道怎么买的，后悔,"[['本来', '想', '没', '事', '的', '时候', '翻翻', '，', '可惜', '看', '不', '下去', '，', '还是', '和', '张', '没法', '比', '，', '他', '的', '书', '能', '畅销', '大部分', '还是', '受', '张', '的', '影响', '，', '对', '这', '个', '男人', '实在', '是', '没', '好感', '，', '不', '知道', '怎么', '买', '的', '，', '后悔']]","[['d', 'v', 'v', 'n', 'u', 'n', 'v', 'w', 'd', 'v', 'd', 'v', 'w', 'd', 'p', 'nr', 'v', 'v', 'w', 'r', 'u', 'n', 'v', 'v', 'm', 'd', 'v', 'nr', 'u', 'vn', 'w', 'p', 'r', 'q', 'n', 'd', 'v', 'v', 'n', 'w', 'd', 'v', 'r', 'v', 'u', 'w', 'v']]","[[(1, 'advmod'), (5, 'rcmod'), (5, 'rcmod'), (2, 'dobj'), (2, 'cpm'), (6, 'dep'), (-1, 'root'), (6, 'punct'), (9, 'advmod'), (6, 'dep'), (9, 'dep'), (9, 'dep'), (6, 'punct'), (17, 'advmod'), (17, 'prep'), (14, 'pobj'), (17, 'advmod'), (6, 'conj'), (6, 'punct'), (21, 'assmod'), (19, 'assm'), (23, 'nsubj'), (23, 'mmod'), (26, 'dep'), (26, 'nsubj'), (26, 'advmod'), (6, 'conj'), (29, 'assmod'), (27, 'assm'), (26, 'dobj'), (6, 'punct'), (37, 'prep'), (34, 'det'), (32, 'clf'), (31, 'pobj'), (37, 'advmod'), (37, 'cop'), (6, 'conj'), (37, 'dobj'), (6, 'punct'), (41, 'neg'), (6, 'conj'), (43, 'advmod'), (41, 'ccomp'), (43, 'dep'), (6, 'punct'), (6, 'conj')]]"
1,"这台机外观十分好,本人喜欢,性能不错,是LED显示屏,无线网卡是: 5100AGN 无线网卡,如果装的是一条2G 800MHZ的内存就无敌了,本本发热很小,总体来说是十分值得买的,前提是这台机是4299买的.","[['这', '台', '机', '外观', '十分', '好', ',', '本人', '喜欢', ',', '性能', '不错', ',', '是', 'LED', '显示屏', ',', '无线网卡', '是', ':', '5100AGN', '无线', '网卡', ',', '如果', '装', '的', '是', '一', '条', '2G', '800MHZ', '的', '内存', '就', '无敌', '了', ',', '本本', '发热', '很', '小', ',', '总体', '来', '说', '是', '十分', '值得', '买', '的', ',', '前提', '是', '这', '台', '机', '是', '4299', '买', '的', '.']]","[['r', 'q', 'n', 'n', 'm', 'a', 'w', 'r', 'v', 'w', 'n', 'a', 'w', 'v', 'nx', 'n', 'w', 'n', 'v', 'w', 'm', 'b', 'n', 'w', 'c', 'v', 'u', 'v', 'm', 'q', 'm', 'm', 'u', 'n', 'd', 'v', 'y', 'w', 'n', 'v', 'd', 'a', 'w', 'n', 'u', 'u', 'v', 'm', 'v', 'v', 'u', 'w', 'n', 'v', 'r', 'q', 'n', 'v', 'm', 'v', 'u', 'w']]","[[(2, 'det'), (0, 'clf'), (5, 'nsubj'), (5, 'nsubj'), (5, 'advmod'), (-1, 'root'), (5, 'punct'), (8, 'nsubj'), (5, 'conj'), (5, 'punct'), (11, 'nsubj'), (5, 'conj'), (5, 'punct'), (5, 'conj'), (15, 'nn'), (13, 'attr'), (5, 'punct'), (18, 'top'), (5, 'conj'), (18, 'punct'), (22, 'nn'), (22, 'amod'), (18, 'attr'), (5, 'punct'), (27, 'advmod'), (27, 'top'), (25, 'cpm'), (35, 'dep'), (29, 'nummod'), (33, 'clf'), (31, 'dep'), (33, 'assmod'), (31, 'assm'), (27, 'attr'), (35, 'advmod'), (5, 'conj'), (35, 'dep'), (5, 'punct'), (39, 'nn'), (41, 'nsubj'), (41, 'advmod'), (5, 'conj'), (5, 'punct'), (45, 'advmod'), (45, 'prtmod'), (48, 'dep'), (48, 'cop'), (48, 'advmod'), (5, 'dep'), (48, 'ccomp'), (48, 'dep'), (5, 'punct'), (53, 'top'), (5, 'conj'), (56, 'det'), (54, 'clf'), (59, 'top'), (59, 'cop'), (59, 'dep'), (53, 'ccomp'), (59, 'dep'), (5, 'punct')]]"
1,"全键盘带数字键的 显卡足够强大.N卡相对A卡,个人偏向N卡 GHOST XP很容易.除了指纹识别外.所有驱动都能装齐全了,指纹识别,非要在XP下使用的朋友,可以用替代驱动.贡献下驱动地址: http://dlsvr01.asus.com/pub/ASUS/nb/F9Dc/Fingerprints_XP_080530.zip (华硕官方地址,放心下吧)","[['全', '键盘', '带', '数字键', '的', '显卡', '足够', '强大', '.', 'N卡', '相对', 'A卡', ',', '个人', '偏向', 'N卡', 'GHOST', 'XP', '很', '容易', '.', '除了', '指纹', '识别', '外', '.', '所有', '驱动', '都', '能', '装', '齐全', '了', ',', '指纹', '识别', ',', '非', '要', '在', 'XP', '下', '使用', '的', '朋友', ',', '可以', '用', '替代', '驱动', '.', '贡献', '下', '驱动', '地址', ':', 'http://dlsvr01.', 'asus.com/pub/ASUS/nb/F9Dc/Fingerprints_XP_080530.zip', '(', '华硕', '官方', '地址', ',', '放心', '下', '吧', ')']]","[['a', 'n', 'v', 'n', 'u', 'n', 'v', 'a', 'w', 'n', 'v', 'n', 'w', 'n', 'v', 'n', 'nx', 'nx', 'd', 'a', 'w', 'p', 'n', 'vn', 'f', 'w', 'b', 'vn', 'd', 'v', 'v', 'a', 'y', 'w', 'n', 'vn', 'w', 'd', 'v', 'p', 'n', 'f', 'v', 'u', 'n', 'w', 'v', 'p', 'vn', 'v', 'w', 'v', 'v', 'vn', 'n', 'w', 'n', 'nx', 'w', 'nz', 'n', 'n', 'w', 'v', 'v', 'y', 'w']]","[[(1, 'det'), (2, 'nsubj'), (5, 'rcmod'), (2, 'dobj'), (2, 'cpm'), (7, 'nsubj'), (7, 'advmod'), (-1, 'root'), (7, 'punct'), (10, 'nsubj'), (7, 'conj'), (10, 'dobj'), (7, 'punct'), (14, 'nsubj'), (19, 'dep'), (17, 'nn'), (17, 'nn'), (14, 'dobj'), (19, 'advmod'), (7, 'conj'), (7, 'punct'), (31, 'prep'), (23, 'nn'), (24, 'lobj'), (21, 'plmod'), (31, 'punct'), (27, 'det'), (31, 'nsubj'), (31, 'advmod'), (31, 'mmod'), (31, 'mmod'), (7, 'conj'), (31, 'dep'), (7, 'punct'), (35, 'nn'), (51, 'nsubj'), (35, 'punct'), (42, 'advmod'), (42, 'mmod'), (42, 'prep'), (41, 'lobj'), (39, 'plmod'), (44, 'rcmod'), (42, 'cpm'), (51, 'nsubj'), (51, 'punct'), (51, 'mmod'), (51, 'prep'), (49, 'amod'), (47, 'dobj'), (51, 'punct'), (7, 'conj'), (51, 'advmod'), (54, 'nn'), (51, 'dobj'), (54, 'punct'), (51, 'dobj'), (51, 'dobj'), (61, 'punct'), (61, 'nn'), (61, 'nn'), (57, 'prnmod'), (61, 'punct'), (61, 'dep'), (63, 'dep'), (63, 'dep'), (61, 'punct')]]"
1,做工很漂亮，老婆很喜欢。T4200足够了，性价比不错的机器。测试了一下很安逸。今天晚上准备TWOW溜达圈，再看看整机表现如何！,"[['做工', '很', '漂亮', '，', '老婆', '很', '喜欢', '。', 'T4200', '足够', '了', '，', '性价比', '不错', '的', '机器', '。', '测试了一下', '很', '安逸', '。', '今天', '晚上', '准备', 'TWOW', '溜达圈', '，', '再', '看看', '整机', '表现', '如何', '！']]","[['v', 'd', 'a', 'w', 'n', 'd', 'v', 'w', 'n', 'v', 'y', 'w', 'n', 'a', 'u', 'n', 'w', 'v', 'd', 'a', 'w', 't', 't', 'v', 'm', 'n', 'w', 'd', 'v', 'n', 'vn', 'r', 'w']]","[[(2, 'nsubj'), (2, 'advmod'), (-1, 'root'), (2, 'punct'), (6, 'nsubj'), (6, 'advmod'), (2, 'conj'), (2, 'punct'), (9, 'nsubj'), (2, 'conj'), (9, 'dep'), (2, 'punct'), (13, 'nsubj'), (15, 'rcmod'), (13, 'cpm'), (2, 'dep'), (2, 'punct'), (19, 'advmod'), (19, 'advmod'), (2, 'conj'), (2, 'punct'), (22, 'nn'), (23, 'tmod'), (2, 'conj'), (25, 'nummod'), (23, 'dobj'), (23, 'punct'), (28, 'advmod'), (23, 'conj'), (30, 'nn'), (31, 'nsubj'), (28, 'ccomp'), (2, 'punct')]]"
